2026-02-18 00:25:12 | INFO | log file (Reload_NoBuild_Ranked): E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\logs\pipeline_2026-02-18_00-25-12.log
2026-02-18 00:25:12 | INFO | ===== Reload_NoBuild_Ranked: pipeline start =====
2026-02-18 00:25:12 | INFO | paths: lt=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootTierData_Client__final.json lp=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootPackages_Client__final.json minlist=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\items_unique_min.json
2026-02-18 00:25:12 | INFO | output: summary=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\summary lootdata=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\戦利品データ\Reload_NoBuild_Ranked
2026-02-18 00:25:12 | INFO | flags: hotfix=True prewarm=True image=True workers=8
2026-02-18 00:25:12 | INFO | hotfix start: E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\LootPackage.py
2026-02-18 00:25:14 | INFO | hotfix lp stdout: [STEP1-1] base e:\Fmodel\Exports\FortniteGame\Content\Items\DataTables\AthenaLootPackages_Client.json
[HOTFIX:SEASON1] target=/Game/Items/Datatables/AthenaLootPackages_Client
[HOTFIX:SEASON1] Addrow(TableUpdate) なし -> スキップ
[1395] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.129.Weight=0.016000 -> OK
[1396] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.130.Weight=0.000000 -> OK
[1397] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.131.Weight=0.000000 -> OK
[1398] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.57.Weight=0.100000 -> OK
[1399] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.58.Weight=0.000000 -> OK
[1400] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.59.Weight=0.100000 -> OK
[1401] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.60.Weight=0.000000 -> OK
[1402] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.28.Weight=0.100000 -> OK
[1403] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.29.Weight=0.000000 -> OK
[1404] RowUpdate WorldList.ApolloLoot.Weapon.SMG.39.Weight=0.100000 -> OK
[1405] RowUpdate WorldList.ApolloLoot.Weapon.SMG.40.Weight=0.000000 -> OK
[1406] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.63.Weight=0.100000 -> OK
[1407] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.64.Weight=0.000000 -> OK
[1408] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.65.Weight=0.100000 -> OK
[1409] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.66.Weight=0.000000 -> OK
[1410] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.108.Weight=0.075000 -> OK
[1411] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.109.Weight=0.000000 -> OK
[1412] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.110.Weight=0.000000 -> OK
[1413] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.112.Weight=0.075000 -> OK
[1414] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.113.Weight=0.000000 -> OK
[1415] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.114.Weight=0.000000 -> OK
[1416] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.51.Weight=0.250000 -> OK
[1417] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.52.Weight=0.000000 -> OK
[1418] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.53.Weight=0.000000 -> OK
[1419] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.75.Weight=0.075000 -> OK
[1420] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.76.Weight=0.000000 -> OK
[1421] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.77.Weight=0.000000 -> OK
[1422] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.125.Weight=0.075000 -> OK
[1423] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.126.Weight=0.000000 -> OK
[1424] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.127.Weight=0.000000 -> OK
[1425] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.129.Weight=0.075000 -> OK
[1426] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.130.Weight=0.000000 -> OK
[1427] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.131.Weight=0.000000 -> OK
[1428] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.13.Weight=0.400000 -> OK
[1429] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.14.Weight=0.080000 -> OK
[1430] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.15.Weight=0.016000 -> OK
[1431] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.16.Weight=0.004000 -> OK
[1432] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.76.Weight=0.000000 -> OK
[1433] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.77.Weight=0.000000 -> OK
[1434] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.78.Weight=0.000000 -> OK
[1435] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.79.Weight=0.000000 -> OK
[1436] RowUpdate WorldList.AthenaLoot.Weapon.Sniper.34.Weight=0.000000 -> OK
[1437] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.58.Weight=0.000000 -> OK
[1438] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.59.Weight=0.000000 -> OK
[1439] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.60.Weight=0.000000 -> OK
[1440] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.31.Weight=0.000000 -> OK
[1441] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.32.Weight=0.000000 -> OK
[1442] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.58.Weight=0.000000 -> OK
[1443] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.59.Weight=0.000000 -> OK
[1444] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.60.Weight=0.000000 -> OK
[1462] RowUpdate WorldList.AthenaWadStash.Medium.01.CountRange=(X=100,Y=100) -> OK
[1463] RowUpdate WorldList.AthenaWadStash.Large.01.CountRange=(X=200,Y=200) -> OK
[1464] RowUpdate WorldList.AthenaWadSafe.01.CountRange=(X=300,Y=300) -> OK
[1465] RowUpdate WorldList.AthenaWadGoldBarStack.Small.01.CountRange=(X=50,Y=50) -> OK
[1466] RowUpdate WorldList.AthenaWadGoldBarStack.Medium.01.CountRange=(X=100,Y=100) -> OK
[1467] RowUpdate WorldList.AthenaWadGoldBarStack.Large.01.CountRange=(X=200,Y=200) -> OK
[1468] RowUpdate WorldList.AthenaWadChests.01.CountRange=(X=50,Y=50) -> OK
[1469] RowUpdate WorldList.AthenaWadChests.02.CountRange=(X=75,Y=75) -> OK
[1470] RowUpdate WorldList.AthenaWadChests.03.Weight=0.050000 -> OK
[1471] RowUpdate WorldList.AthenaWadChests.03.CountRange=(X=100,Y=100) -> OK
[1472] RowUpdate WorldList.ApolloWadChests.01.CountRange=(X=100,Y=100) -> OK
[1473] RowUpdate WorldList.ApolloWadChests.02.CountRange=(X=150,Y=150) -> OK
[1474] RowUpdate WorldList.ApolloWadChests.03.CountRange=(X=250,Y=250) -> OK
[1475] RowUpdate WorldList.AGSupply4.01.Weight=0.000000 -> OK
[1476] RowUpdate WorldList.ExoticRandom.01.Weight=0.000000 -> OK
[1477] RowUpdate WorldList.ExoticRandom.02.Weight=0.000000 -> OK
[1478] RowUpdate WorldList.ExoticRandom.03.Weight=0.000000 -> OK
[1479] RowUpdate WorldList.ExoticRandom.04.Weight=0.000000 -> OK
[1480] RowUpdate WorldList.ExoticRandom.05.Weight=0.000000 -> OK
[1481] RowUpdate WorldList.ExoticRandom.06.Weight=0.000000 -> OK
[1482] RowUpdate WorldList.ExoticRandom.10.Weight=0.000000 -> OK
[1483] RowUpdate WorldList.ExoticRandom.22.Weight=0.000000 -> OK
[1484] RowUpdate WorldList.MythicRandom.03.Weight=0.000000 -> OK
[1485] RowUpdate WorldList.MythicRandom.04.Weight=0.000000 -> OK
[1486] RowUpdate WorldList.MythicRandom.08.Weight=0.000000 -> OK
[1487] RowUpdate WorldList.MythicRandom.09.Weight=0.000000 -> OK
[1488] RowUpdate WorldList.MythicRandom.11.Weight=0.000000 -> OK
[1489] RowUpdate WorldList.MythicRandom.12.Weight=0.000000 -> OK
[1490] RowUpdate WorldList.MythicRandom.13.Weight=0.000000 -> OK
[1491] RowUpdate WorldList.MythicRandom.21.Weight=0.000000 -> OK
[1492] RowUpdate WorldList.MythicRandom.23.Weight=0.000000 -> OK
[1493] RowUpdate WorldList.MythicRandom.29.Weight=0.000000 -> OK
[1494] RowUpdate WorldList.MythicRandom.45.Weight=1.000000 -> OK
[1495] RowUpdate WorldList.MythicRandom.48.Weight=1.000000 -> OK
[1496] RowUpdate WorldList.MythicRandom.50.Weight=1.000000 -> OK
[1497] RowUpdate WorldList.MythicRandom.51.Weight=1.000000 -> OK
[1498] RowUpdate WorldList.MythicRandom.52.Weight=1.000000 -> OK
[1499] RowUpdate WorldList.MythicRandom.53.Weight=1.000000 -> OK
[1556] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.24.Weight=0.000000 -> OK
[1557] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.25.Weight=0.000000 -> OK
[1558] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.48.Weight=1.000000 -> OK
[1559] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.49.Weight=0.400000 -> OK
[1560] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.50.Weight=0.080000 -> OK
[1561] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.60.Weight=0.000000 -> OK
[1562] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.61.Weight=0.000000 -> OK
[1563] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.62.Weight=0.000000 -> OK
[1564] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.32.Weight=0.000000 -> OK
[1565] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.33.Weight=0.000000 -> OK
[1566] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.34.Weight=0.000000 -> OK
[1567] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.35.Weight=0.000000 -> OK
[1568] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.71.Weight=0.400000 -> OK
[1569] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.72.Weight=0.080000 -> OK
[1570] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.73.Weight=0.016000 -> OK
[1571] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.74.Weight=0.004000 -> OK
[1572] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.87.Weight=0.000000 -> OK
[1573] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.88.Weight=0.000000 -> OK
[1574] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.89.Weight=0.000000 -> OK
[1575] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.90.Weight=0.000000 -> OK
[1576] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.21.Weight=1.000000 -> OK
[1577] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.22.Weight=0.400000 -> OK
[1578] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.23.Weight=0.080000 -> OK
[1579] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.32.Weight=0.400000 -> OK
[1580] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.33.Weight=0.080000 -> OK
[1581] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.34.Weight=0.016000 -> OK
[1582] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.35.Weight=0.004000 -> OK
[1583] RowUpdate WorldList.AthenaLoot.Weapon.SMG.35.Weight=0.000000 -> OK
[1584] RowUpdate WorldList.AthenaLoot.Weapon.SMG.36.Weight=0.000000 -> OK
[1585] RowUpdate WorldList.AthenaLoot.Weapon.SMG.52.Weight=0.000000 -> OK
[1586] RowUpdate WorldList.AthenaLoot.Weapon.SMG.53.Weight=0.080000 -> OK
[1587] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.48.Weight=0.000000 -> OK
[1588] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.49.Weight=0.000000 -> OK
[1589] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.50.Weight=0.000000 -> OK
[1590] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.51.Weight=0.000000 -> OK
[1591] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.72.Weight=0.000000 -> OK
[1592] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.73.Weight=0.080000 -> OK
[1593] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.74.Weight=0.016000 -> OK
[1594] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.75.Weight=0.004000 -> OK
[1595] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.05.Weight=0.000000 -> OK
